council_name,tel_phone,ceo_name,postcode,fax,mayor,email,website,address
Indigo Shire Council,5728 8000,Mr Trevor Ierino,3688,,Cr Sophie Price,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au,"2 Kurrajong Way, BEECHWORTH, PO Box 28, BEECHWORTH  3747"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3597,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3754,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3215,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Knox City Council,9298 8000,Mr Bruce Dobson,3156,9800 3096,Cr Lisa Cooper,knoxcc@knox.vic.gov.au,www.knox.vic.gov.au,"511 Burwood Highway, WANTIRNA SOUTH, 511 Burwood Highway, WANTIRNA SOUTH  3152"
Central Goldfields Shire Council,5461 0610,Ms Sally Jones,3472,5461 0666,Cr Grace La Vella,mail@cgoldshire.vic.gov.au,www.centralgoldfields.com.au,"12-22 Nolan Street, MARYBOROUGH, PO Box 194, MARYBOROUGH  3465"
Campaspe Shire Council,5481 2200,Ms Pauline Gordon,3624,5481 2290,Cr Daniel Mackrell,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au,"Cnr Hare & Heygarth Streets, ECHUCA, PO Box 35, ECHUCA  3564"
Greater Shepparton City Council,5832 9700,Ms Fiona Le Gassick,3614,,Cr Shane Sali,council@shepparton.vic.gov.au,greatershepparton.com.au,"90 Welsford Street, SHEPPARTON, Locked Bag 1000, SHEPPARTON  3632"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3475,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Greater Shepparton City Council,5832 9700,Ms Fiona Le Gassick,3647,,Cr Shane Sali,council@shepparton.vic.gov.au,greatershepparton.com.au,"90 Welsford Street, SHEPPARTON, Locked Bag 1000, SHEPPARTON  3632"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3658,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
Wodonga City Council,02 6022 9300,Mr Matt Hyde,3690,02 6022 9322,Cr Michael Gobel,info@wodonga.vic.gov.au,www.wodonga.vic.gov.au,"104 Hovell Street, WODONGA, PO Box 923, WODONGA  3689"
Merri-bek City Council,9240 1111,Ms Cathy Henderson,3056,,Cr Helen Davidson,info@merri-bek.vic.gov.au,www.merri-bek.vic.gov.au,"90 Bell Street, COBURG, Locked Bag 10, BRUNSWICK  3056"
Moonee Valley City Council,9243 8888,Ms Helen Sui,3040,,Cr Ava Adams,council@mvcc.vic.gov.au,www.mvcc.vic.gov.au ,"9 Kellaway Avenue, MOONEE PONDS, PO Box 126, MOONEE PONDS  3039"
Indigo Shire Council,5728 8000,Mr Trevor Ierino,3749,,Cr Sophie Price,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au,"2 Kurrajong Way, BEECHWORTH, PO Box 28, BEECHWORTH  3747"
Wellington Shire Council,1300 366 244,Mr David Morcom,3860,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3518,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Maroondah City Council,1300 882 233,Mr Steve Kozlowski,3136,9298 4345,Cr Kylie Spears,maroondah@maroondah.vic.gov.au,www.maroondah.vic.gov.au,"Realm, 179 Maroondah Highway, RINGWOOD, PO Box 156, RINGWOOD  3134"
Casey City Council,9705 5200,Mr Glenn Patterson,3805,9704 9544,Cr Stefan Koomen,caseycc@casey.vic.gov.au,www.casey.vic.gov.au,"Bunjil Place, Patrick Northeast Drive, NARRE WARREN, PO Box 1000, NARRE WARREN  3805"
Buloke Shire Council,1300 520 520,Mr Wayne O'Toole,3525,5493 7395,Cr Alan Getley,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au,"367 Broadway, WYCHEPROOF, PO Box 1, WYCHEPROOF  3527"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3789,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3786,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Wangaratta Rural City Council,5722 0888,Mr Brendan McGrath,3678,5721 9526,Cr Irene Grant,council@wangaratta.vic.gov.au,www.wangaratta.vic.gov.au,"Cnr Ford & Ovens Streets, WANGARATTA, PO Box 238, WANGARATTA  3676"
Northern Grampians Shire Council,5358 8700,Mr Brent McAlister,3478,,Cr Karen Hyslop,ngshire@ngshire.vic.gov.au,www.ngshire.vic.gov.au,"59-69 Main Street , STAWELL, PO Box 580, STAWELL  3380"
,,,3921,,,,,
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3498,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3505,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Benalla Rural City Council,5760 2600,Mr Robert Barber,3672,,Cr Bernie Hearn,council@benalla.vic.gov.au,www.benalla.vic.gov.au,"1 Bridge Street East, BENALLA, PO Box 227, BENALLA  3671"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3590,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3586,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
