council_name,tel_phone,ceo_name,postcode,fax,mayor,email,website,address
Alpine Shire Council,5755 0555,Mr Will Jeremy,3741,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Ararat Rural City Council,5355 0200,Dr Tim Harrison,3377,5352 1695,Cr Jo Armstrong,council@ararat.vic.gov.au,www.ararat.vic.gov.au,"59 Vincent Street, ARARAT, PO Box 246, ARARAT  3377"
Ballarat City Council,5320 5500,Mr Evan King,3350,5333 4061,Cr Tracey Hargreaves,info@ballarat.vic.gov.au,www.ballarat.vic.gov.au,"25 Armstrong Street South, BALLARAT, PO Box 655, BALLARAT  3353"
Banyule City Council,9490 4222,Ms Allison Beckwith,3088,9499 9475,Cr Elizabeth Nealy,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au,"1 Flintoff Street, GREENSBOROUGH, PO Box 94, GREENSBOROUGH  3088"
Bass Coast Shire Council,1300 BCOAST (226278),Mr Greg Box,3995,5671 2222,Cr Rochelle Halstead,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au,"76 McBride Avenue, WONTHAGGI, PO Box 118, WONTHAGGI  3995"
Baw Baw Shire Council,5624 2411,Mr Cohen Van der Velde,3818,5622 3654,Cr Danny Goss,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au,"33 Young Street, DROUIN, PO Box 304, WARRAGUL  3820"
Bayside City Council,9599 4444,Mr Mick Cummins,3191,9598 4474,Cr Hanna El Mouallem,enquiries@bayside.vic.gov.au,www.bayside.vic.gov.au,"76 Royal Avenue, SANDRINGHAM, PO Box 27, SANDRINGHAM  3191"
Benalla Rural City Council,5760 2600,Mr Robert Barber,3672,,Cr Bernie Hearn,council@benalla.vic.gov.au,www.benalla.vic.gov.au,"1 Bridge Street East, BENALLA, PO Box 227, BENALLA  3671"
Boroondara City Council,9278 4444,Mr Phillip Storer,3124,9278 4466,Cr Sophie Torney,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au,"8 Inglesby Road, CAMBERWELL, Private Bag 1, CAMBERWELL  3124"
Borough of Queenscliffe,5258 1377,Mr Martin Gill,3225,5258 3315,Cr Di Rule,info@queenscliffe.vic.gov.au,www.queenscliffe.vic.gov.au,"50 Learmonth Street, QUEENSCLIFF, PO Box 93, QUEENSCLIFF  3225"
Brimbank City Council,9249 4000,Ms Fiona Blair,3020,9249 4351,Cr Thuy Dang,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au,"Brimbank Community & Civic Centre, 301 Hampshire Rd, SUNSHINE, PO Box 70, SUNSHINE  3020"
Buloke Shire Council,1300 520 520,Mr Wayne O'Toole,3527,5493 7395,Cr Alan Getley,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au,"367 Broadway, WYCHEPROOF, PO Box 1, WYCHEPROOF  3527"
Campaspe Shire Council,5481 2200,Ms Pauline Gordon,3564,5481 2290,Cr Daniel Mackrell,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au,"Cnr Hare & Heygarth Streets, ECHUCA, PO Box 35, ECHUCA  3564"
Cardinia Shire Council,1300 787 624,Ms Carol Jeffs,3809,,Cr Jack Kowarzik,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au,"20 Siding Avenue, OFFICER, PO Box 7, PAKENHAM  3810"
Casey City Council,9705 5200,Mr Glenn Patterson,3805,9704 9544,Cr Stefan Koomen,caseycc@casey.vic.gov.au,www.casey.vic.gov.au,"Bunjil Place, Patrick Northeast Drive, NARRE WARREN, PO Box 1000, NARRE WARREN  3805"
Central Goldfields Shire Council,5461 0610,Ms Sally Jones,3465,5461 0666,Cr Grace La Vella,mail@cgoldshire.vic.gov.au,www.centralgoldfields.com.au,"12-22 Nolan Street, MARYBOROUGH, PO Box 194, MARYBOROUGH  3465"
Colac Otway Shire Council,5232 9400,Ms Anne Howard,3250,5232 1046,Cr Jason Schram,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au,"2-6 Rae Street, COLAC, PO Box 283, COLAC  3250"
Corangamite Shire Council,5593 7100,Mr David Rae,3260,5593 2695,Cr Kate Makin,shire@corangamite.vic.gov.au,www.corangamite.vic.gov.au,"181 Maniford Street, CAMPERDOWN, PO Box 84, CAMPERDOWN  3260"
Darebin City Council,8470 8888,Mr Michael Tudball,3072,,Cr Kristine Olaris,mailbox@darebin.vic.gov.au,www.darebin.vic.gov.au,"274 Gower Street, PRESTON, PO Box 91, PRESTON  3072"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3875,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Frankston City Council,1300 322 322,Mr Phil Cantillon,3199,,Cr Kris Bolam,info@frankston.vic.gov.au,www.frankston.vic.gov.au,"30 Davey Street, FRANKSTON, PO Box 490, FRANKSTON  3199"
Gannawarra Shire Council,5450 9333,Mr Geoff Rollinson,3579,5450 3023,Cr Garner Smith,council@gsc.vic.gov.au,www.gsc.vic.gov.au,"47 Victoria Street, KERANG, PO Box 287, KERANG  3579"
Glen Eira City Council,9524 3333,Ms Rebecca McKenzie,3162,9523 0339,Cr Simone Zmood,mail@gleneira.vic.gov.au,www.gleneira.vic.gov.au,"Cnr Glen Eira & Hawthorn Rds, CAULFIELD SOUTH, PO Box 42, CAULFIELD SOUTH  3162"
Glenelg Shire Council,1300 453 635,Ms Helen Havercroft,3305,,Cr Karen Stephens,enquiry@glenelg.vic.gov.au,www.glenelg.vic.gov.au,"71 Cliff Street, PORTLAND, PO Box 152, PORTLAND  3305"
Golden Plains Shire Council,5220 7111,Mr Phil Josipovic,3331,5220 7100,Cr Sarah Hayden,enquiries@gplains.vic.gov.au,www.goldenplains.vic.gov.au,"2 Pope Street, BANNOCKBURN, PO Box 111, BANNOCKBURN  3331"
Greater Bendigo City Council,1300 002 642,Mr Andrew Cooney,3550,,Cr Andrea Metcalf,requests@bendigo.vic.gov.au,www.bendigo.vic.gov.au,"Galkangu–Bendigo GovHub, 189–229 Lyttleton Terrace, BENDIGO, PO Box 733, BENDIGO  3552"
Greater Dandenong City Council,8571 1000,Ms Jacqui Weatherill,3175,8571 5196,Cr Jim Memeti,council@cgd.vic.gov.au,www.greaterdandenong.com,"225 Lonsdale Street, DANDENONG, PO Box 200, DANDENONG  3175"
Greater Geelong City Council,5272 5272,"Ms Ali Wastie ",3220,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Greater Shepparton City Council,5832 9700,Ms Fiona Le Gassick,3630,,Cr Shane Sali,council@shepparton.vic.gov.au,greatershepparton.com.au,"90 Welsford Street, SHEPPARTON, Locked Bag 1000, SHEPPARTON  3632"
Hepburn Shire Council,5348 2306,Mr Bradley Thomas,3460,,Cr Don Henderson,shire@hepburn.vic.gov.au,www.hepburn.vic.gov.au,"76 Vincent Street, DAYLESFORD, PO Box 21, DAYLESFORD  3460"
Hindmarsh Shire Council,5391 4444,Ms Monica Revell,3418,5391 1376,Cr Ron Ismay,info@hindmarsh.vic.gov.au,www.hindmarsh.vic.gov.au,"92 Nelson Street, NHILL, PO Box 250 , NHILL  3418"
Hobsons Bay City Council,9932 1000,Ms Kerry Thompson,3018,9932 1039,Cr Daria Kellander,customerservice@hobsonsbay.vic.gov.au,www.hobsonsbay.vic.gov.au,"115 Civic Parade, ALTONA, PO Box 21, ALTONA  3018"
Horsham Rural City Council,5382 9777,Mr Craig Niemann,3402,5382 1111,Cr Ian Ross,council@hrcc.vic.gov.au,www.hrcc.vic.gov.au,"Civic Centre, Roberts Avenue, HORSHAM, PO Box 511, HORSHAM  3402"
Hume City Council,9205 2200,Ms Sheena Frost,3047,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
Indigo Shire Council,5728 8000,Mr Trevor Ierino,3747,,Cr Sophie Price,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au,"2 Kurrajong Way, BEECHWORTH, PO Box 28, BEECHWORTH  3747"
Kingston City Council,1300 653 356,Mr Peter Bean,3192,9581 4500,Cr Georgina Oxley,info@kingston.vic.gov.au,www.kingston.vic.gov.au,"1230 Nepean Highway, CHELTENHAM, PO Box 1000, MENTONE  3194"
Knox City Council,9298 8000,Mr Bruce Dobson,3152,9800 3096,Cr Lisa Cooper,knoxcc@knox.vic.gov.au,www.knox.vic.gov.au,"511 Burwood Highway, WANTIRNA SOUTH, 511 Burwood Highway, WANTIRNA SOUTH  3152"
Latrobe City Council,1300 367 700,Mr Steven Piasente,3840,5128 5672,Cr Dale Harriman,latrobe@latrobe.vic.gov.au,www.latrobe.vic.gov.au,"141 Commercial Road, MORWELL, PO Box 264, MORWELL  3840"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3518,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Macedon Ranges Shire Council,5422 0333,Mr Bernie O'Sullivan,3444,5422 3623,Cr Dominic Bonanno,mrsc@mrsc.vic.gov.au,www.mrsc.vic.gov.au,"129 Mollison Street, KYNETON, PO Box 151, KYNETON  3444"
Manningham City Council,9840 9333,Mr Andrew Day,3108,9848 3110,Cr Deirdre Diamante,manningham@manningham.vic.gov.au,www.manningham.vic.gov.au,"699 Doncaster Road, DONCASTER, PO Box 1, DONCASTER  3108"
