full_name,electorate,party,house,agreement,voted,category,policy_id
Kim Carr,Victoria,Australian Labor Party,senate,100.0,True,for3,83
Jacinta Collins,Victoria,Australian Labor Party,senate,100.0,True,for3,83
Richard Di Natale,Victoria,Australian Greens,senate,100.0,True,for3,83
Janet Rice,Victoria,Australian Greens,senate,100.0,True,for3,83
Stephen Conroy,Victoria,Australian Labor Party,senate,92.0,True,not_enough,83
Gavin Marshall,Victoria,Australian Labor Party,senate,92.0,True,not_enough,83
Ricky Muir,Victoria,Australian Motoring Enthusiast Party,senate,92.0,True,not_enough,83
Lyn Allison,Victoria,Australian Democrats,senate,100.0,True,not_enough,93
Richard Di Natale,Victoria,Australian Greens,senate,100.0,True,for3,93
John Madigan,Victoria,Independent,senate,100.0,True,for3,93
Janet Rice,Victoria,Australian Greens,senate,100.0,True,for3,93
Derryn Hinch,Victoria,Derryn Hinch's Justice Party,senate,100.0,True,not_enough,93
Steph Hodgins-May,Victoria,Australian Greens,senate,100.0,True,not_enough,93
Kimberley Kitching,Victoria,Australian Labor Party,senate,92.0,True,not_enough,93
Jacinta Collins,Victoria,Australian Labor Party,senate,86.0,True,for2,93
Stephen Conroy,Victoria,Australian Labor Party,senate,82.0,True,for1,93
Gavin Marshall,Victoria,Australian Labor Party,senate,75.0,True,for1,93
Kim Carr,Victoria,Australian Labor Party,senate,70.0,True,for1,93
Lyn Allison,Victoria,Australian Democrats,senate,100.0,True,for3,94
Richard Di Natale,Victoria,Australian Greens,senate,100.0,True,for3,94
Steph Hodgins-May,Victoria,Australian Greens,senate,100.0,True,for3,94
Janet Rice,Victoria,Australian Greens,senate,99.0,True,for3,94
Lidia Thorpe,Victoria,Independent,senate,84.0,True,for1,94
Derryn Hinch,Victoria,Derryn Hinch's Justice Party,senate,67.0,True,for1,94
Richard Di Natale,Victoria,Australian Greens,senate,100.0,True,for3,172
Janet Rice,Victoria,Australian Greens,senate,100.0,True,for3,172
Lidia Thorpe,Victoria,Independent,senate,100.0,True,for3,172
Kim Carr,Victoria,Australian Labor Party,senate,69.0,True,for1,172
Robert Ray,Victoria,Australian Labor Party,senate,67.0,True,for1,172
Derryn Hinch,Victoria,Derryn Hinch's Justice Party,senate,67.0,True,for1,172
Steve Fielding,Victoria,Family First Party,senate,100.0,True,for3,217
Rod Kemp,Victoria,Liberal Party,senate,100.0,True,not_enough,217
Julian McGauran,Victoria,National Party,senate,100.0,True,for3,217
Kay Patterson,Victoria,Liberal Party,senate,100.0,True,not_enough,217
Robert Ray,Victoria,Australian Labor Party,senate,100.0,True,not_enough,217
Judith Troeth,Victoria,Liberal Party,senate,100.0,True,for3,217
Ricky Muir,Victoria,Australian Motoring Enthusiast Party,senate,100.0,True,not_enough,217
Linda White,Victoria,Australian Labor Party,senate,100.0,True,for3,217
Mitch Fifield,Victoria,Liberal Party,senate,98.0,True,for3,217
James Paterson,Victoria,Liberal Party,senate,98.0,True,for3,217
David Van,Victoria,Independent,senate,98.0,True,for3,217
Bridget McKenzie,Victoria,National Party,senate,97.0,True,for3,217
Scott Ryan,Victoria,PRES,senate,97.0,True,for3,217
Sarah Henderson,Victoria,Liberal Party,senate,96.0,True,for3,217
Helen Kroger,Victoria,Liberal Party,senate,95.0,True,for3,217
John Madigan,Victoria,Independent,senate,95.0,True,for3,217
Michael Ronaldson,Victoria,Liberal Party,senate,94.0,True,for2,217
Jane Hume,Victoria,Liberal Party,senate,94.0,True,for2,217
Raff Ciccone,Victoria,Australian Labor Party,senate,92.0,True,for2,217
Jana Stewart,Victoria,Australian Labor Party,senate,92.0,True,not_enough,217
Jess Walsh,Victoria,Australian Labor Party,senate,88.0,True,for2,217
Kimberley Kitching,Victoria,Australian Labor Party,senate,81.0,True,for1,217
Kim Carr,Victoria,Australian Labor Party,senate,77.0,True,for1,217
Gavin Marshall,Victoria,Australian Labor Party,senate,74.0,True,for1,217
Jacinta Collins,Victoria,Australian Labor Party,senate,66.0,True,for1,217
Raff Ciccone,Victoria,Australian Labor Party,senate,100.0,True,for3,331
Jess Walsh,Victoria,Australian Labor Party,senate,100.0,True,for3,331
David Van,Victoria,Independent,senate,100.0,True,for3,331
Ralph Babet,Victoria,United Australia Party,senate,100.0,True,for3,331
Jana Stewart,Victoria,Australian Labor Party,senate,100.0,True,for3,331
Lisa Darmanin,Victoria,Australian Labor Party,senate,100.0,True,for3,331
